mm-yyyy,mm/yyyy,yyyy-mm,mmm_yyyy,Date,Location,Covid_Vacs_Administered,Covid_Vacs_Administered (In thousands),Covid_Vacs_Administered (in millions),MMWR_week
Feb-21,Feb-21,2021/02,Feb-21,2/28/2021,IA,713054,713.05,0.71,9
Mar-21,Mar-21,2021/03,Mar-21,3/31/2021,IA,1539664,1539.66,1.54,13
Apr-21,Apr-21,2021/04,Apr-21,4/30/2021,IA,2378407,2378.41,2.38,17
May-21,May-21,2021/05,May-21,5/31/2021,IA,2846992,2846.99,2.85,22
Jun-21,Jun-21,2021/06,Jun-21,6/30/2021,IA,3035131,3035.13,3.04,26
Jul-21,Jul-21,2021/07,Jul-21,7/12/2021,IA,3076237,3076.24,3.08,28
Dec-20,Dec-20,2020/12,Dec-20,12/31/2020,ID,13614,13.61,0.01,53
Jan-21,Jan-21,2021/01,Jan-21,1/31/2021,ID,120880,120.88,0.12,5
Feb-21,Feb-21,2021/02,Feb-21,2/28/2021,ID,392370,392.37,0.39,9
Mar-21,Mar-21,2021/03,Mar-21,3/31/2021,ID,752364,752.36,0.75,13
Apr-21,Apr-21,2021/04,Apr-21,4/30/2021,ID,1076561,1076.56,1.08,17
May-21,May-21,2021/05,May-21,5/31/2021,ID,1238745,1238.75,1.24,22
Jun-21,Jun-21,2021/06,Jun-21,6/30/2021,ID,1323573,1323.57,1.32,26
Jul-21,Jul-21,2021/07,Jul-21,7/12/2021,ID,1344298,1344.3,1.34,28
Dec-20,Dec-20,2020/12,Dec-20,12/31/2020,IH2,34184,34.18,0.03,53
Jan-21,Jan-21,2021/01,Jan-21,1/31/2021,IH2,209747,209.75,0.21,5
Feb-21,Feb-21,2021/02,Feb-21,2/28/2021,IH2,553652,553.65,0.55,9
Mar-21,Mar-21,2021/03,Mar-21,3/31/2021,IH2,964050,964.05,0.96,13
Apr-21,Apr-21,2021/04,Apr-21,4/30/2021,IH2,1244362,1244.36,1.24,17
May-21,May-21,2021/05,May-21,5/31/2021,IH2,1370617,1370.62,1.37,22
Jun-21,Jun-21,2021/06,Jun-21,6/30/2021,IH2,1442189,1442.19,1.44,26
Jul-21,Jul-21,2021/07,Jul-21,7/12/2021,IH2,1459769,1459.77,1.46,28
Dec-20,Dec-20,2020/12,Dec-20,12/31/2020,IL,148860,148.86,0.15,53
Jan-21,Jan-21,2021/01,Jan-21,1/31/2021,IL,1011454,1011.45,1.01,5
Feb-21,Feb-21,2021/02,Feb-21,2/28/2021,IL,2824209,2824.21,2.82,9
Mar-21,Mar-21,2021/03,Mar-21,3/31/2021,IL,5932882,5932.88,5.93,13
Apr-21,Apr-21,2021/04,Apr-21,4/30/2021,IL,9445420,9445.42,9.45,17
May-21,May-21,2021/05,May-21,5/31/2021,IL,11679098,11679.1,11.68,22
Jun-21,Jun-21,2021/06,Jun-21,6/30/2021,IL,12971273,12971.27,12.97,26
Jul-21,Jul-21,2021/07,Jul-21,7/12/2021,IL,13225512,13225.51,13.23,28
Dec-20,Dec-20,2020/12,Dec-20,12/31/2020,IN,74351,74.35,0.07,53
Jan-21,Jan-21,2021/01,Jan-21,1/31/2021,IN,607185,607.19,0.61,5
Feb-21,Feb-21,2021/02,Feb-21,2/28/2021,IN,1590344,1590.34,1.59,9
Mar-21,Mar-21,2021/03,Mar-21,3/31/2021,IN,2787166,2787.17,2.79,13
Apr-21,Apr-21,2021/04,Apr-21,4/30/2021,IN,4144890,4144.89,4.14,17
May-21,May-21,2021/05,May-21,5/31/2021,IN,5112710,5112.71,5.11,22
Jun-21,Jun-21,2021/06,Jun-21,6/30/2021,IN,5587519,5587.52,5.59,26
Jul-21,Jul-21,2021/07,Jul-21,7/12/2021,IN,5904880,5904.88,5.9,28
Dec-20,Dec-20,2020/12,Dec-20,12/31/2020,KS,13708,13.71,0.01,53
Jan-21,Jan-21,2021/01,Jan-21,1/31/2021,KS,221469,221.47,0.22,5
Feb-21,Feb-21,2021/02,Feb-21,2/28/2021,KS,609765,609.77,0.61,9
Mar-21,Mar-21,2021/03,Mar-21,3/31/2021,KS,1290992,1290.99,1.29,13
Apr-21,Apr-21,2021/04,Apr-21,4/30/2021,KS,2015317,2015.32,2.02,17
May-21,May-21,2021/05,May-21,5/31/2021,KS,2327157,2327.16,2.33,22
Jun-21,Jun-21,2021/06,Jun-21,6/30/2021,KS,2484177,2484.18,2.48,26
Jul-21,Jul-21,2021/07,Jul-21,7/12/2021,KS,2527797,2527.8,2.53,28
Dec-20,Dec-20,2020/12,Dec-20,12/31/2020,KY,52296,52.3,0.05,53
Jan-21,Jan-21,2021/01,Jan-21,1/31/2021,KY,404705,404.71,0.4,5
Feb-21,Feb-21,2021/02,Feb-21,2/28/2021,KY,1020045,1020.05,1.02,9
Mar-21,Mar-21,2021/03,Mar-21,3/31/2021,KY,2100387,2100.39,2.1,13
Apr-21,Apr-21,2021/04,Apr-21,4/30/2021,KY,3142500,3142.5,3.14,17
May-21,May-21,2021/05,May-21,5/31/2021,KY,3650993,3650.99,3.65,22
Jun-21,Jun-21,2021/06,Jun-21,6/30/2021,KY,3994259,3994.26,3.99,26
Jul-21,Jul-21,2021/07,Jul-21,7/12/2021,KY,4066030,4066.03,4.07,28
Dec-20,Dec-20,2020/12,Dec-20,12/31/2020,LA,44351,44.35,0.04,53
Jan-21,Jan-21,2021/01,Jan-21,1/31/2021,LA,443715,443.72,0.44,5
Feb-21,Feb-21,2021/02,Feb-21,2/28/2021,LA,1056975,1056.98,1.06,9
Mar-21,Mar-21,2021/03,Mar-21,3/31/2021,LA,1963625,1963.63,1.96,13
Apr-21,Apr-21,2021/04,Apr-21,4/30/2021,LA,2708891,2708.89,2.71,17
May-21,May-21,2021/05,May-21,5/31/2021,LA,3082449,3082.45,3.08,22
Jun-21,Jun-21,2021/06,Jun-21,6/30/2021,LA,3339493,3339.49,3.34,26
